Respondent ID,Age Group,Education,Income Bracket,Living Area,Prior ADR Exposure,Tech Familiarity (1-5),General ADR Attitude (1-5),Privacy Concerns,Safety Concerns,Job Displacement,Public Space Impact,Reliability Concerns
26,18-30,Bachelor's,60k-100k,Urban,None,4.7,3.6,4.5,3.3,3.5,3.6,3.1
27,18-30,Bachelor's,60k-100k,Rural,Seen,3.5,2.5,3.7,3.0,4.6,3.2,2.8
28,18-30,Some College,>150k,Urban,Seen,2.4,3.0,4.9,3.9,3.9,3.6,2.3
29,18-30,Some College,>150k,Suburban,Seen,4.2,3.9,4.8,2.4,3.8,2.8,2.4
30,18-30,Some College,60k-100k,Urban,Interacted,3.4,3.0,4.1,2.8,3.5,2.7,2.5
31,18-30,Some College,60k-100k,Urban,Interacted,4.3,3.6,4.5,3.7,4.3,2.5,2.6
32,18-30,Some College,60k-100k,Urban,Seen,5.0,4.4,3.6,3.9,3.8,3.1,3.2
33,18-30,High School,30k-60k,Suburban,Seen,3.3,2.9,3.8,2.6,3.8,2.8,2.5
34,18-30,Graduate Degree,60k-100k,Suburban,Seen,5.0,4.1,4.0,3.1,4.6,2.8,2.6
35,18-30,Some College,<30k,Urban,Interacted,3.9,3.6,4.9,2.4,2.9,3.3,3.0
36,18-30,High School,30k-60k,Urban,Interacted,4.0,3.8,4.1,2.8,3.5,2.8,2.6
37,18-30,High School,30k-60k,Rural,None,4.0,4.3,4.3,3.2,3.5,2.5,3.3
38,18-30,Some College,100k-150k,Urban,None,4.0,2.9,5.0,2.7,3.0,2.0,3.0
39,18-30,Some College,60k-100k,Urban,Seen,4.4,4.2,5.0,2.3,3.8,2.6,2.7
40,18-30,Bachelor's,30k-60k,Urban,None,3.9,3.2,4.6,3.4,3.8,3.0,2.7
41,18-30,Bachelor's,100k-150k,Urban,None,4.6,2.4,3.9,3.4,3.7,2.6,3.3
42,18-30,Graduate Degree,30k-60k,Suburban,None,3.8,4.1,4.4,2.1,3.4,1.9,2.8
43,18-30,High School,100k-150k,Urban,None,4.3,2.9,4.6,3.1,3.5,2.9,3.1
44,18-30,Bachelor's,60k-100k,Suburban,Seen,4.5,3.2,4.0,3.2,4.0,2.6,2.6
45,18-30,High School,60k-100k,Suburban,Seen,3.4,3.8,4.0,3.5,4.5,2.6,2.8
46,18-30,Bachelor's,60k-100k,Suburban,None,4.3,3.4,4.7,2.7,3.3,1.9,3.7
47,18-30,High School,60k-100k,Suburban,None,4.2,3.5,4.1,3.1,4.8,3.1,3.1
48,18-30,Bachelor's,30k-60k,Suburban,Interacted,2.4,4.1,3.6,2.6,3.8,2.8,3.5
49,18-30,High School,30k-60k,Suburban,Interacted,3.1,2.8,4.6,1.9,3.8,3.1,3.6
50,18-30,Some College,<30k,Urban,Seen,5.0,4.4,4.1,1.8,3.9,2.7,3.3
51,18-30,High School,60k-100k,Urban,Seen,3.9,3.1,3.8,3.0,3.9,2.9,2.7
52,18-30,Graduate Degree,30k-60k,Urban,Interacted,3.6,4.4,4.5,3.1,3.6,2.4,3.1
53,18-30,Some College,30k-60k,Urban,Interacted,4.2,4.3,3.6,3.2,4.0,2.7,2.9
54,18-30,Some College,<30k,Urban,Seen,3.4,3.6,3.5,3.6,4.5,3.2,2.4
55,18-30,Bachelor's,30k-60k,Urban,Seen,3.0,2.9,4.6,2.6,4.0,2.9,3.8
56,18-30,Graduate Degree,<30k,Urban,Interacted,3.4,4.1,3.7,3.3,3.3,3.3,2.9
57,18-30,Some College,30k-60k,Suburban,Seen,3.4,3.8,4.6,2.4,4.5,1.7,2.1
58,18-30,Bachelor's,30k-60k,Urban,Seen,3.9,3.4,4.2,3.3,3.0,2.1,3.4
59,18-30,Graduate Degree,60k-100k,Urban,Seen,4.2,4.4,3.4,3.4,4.9,3.2,2.8
60,18-30,Bachelor's,<30k,Rural,Interacted,4.2,3.5,5.0,2.2,3.3,2.5,3.0
61,18-30,High School,60k-100k,Urban,Interacted,2.4,4.4,3.4,2.7,4.6,2.4,3.3
62,18-30,Graduate Degree,60k-100k,Urban,None,4.7,3.2,4.0,2.8,4.0,4.1,3.0
63,18-30,High School,<30k,Suburban,None,4.2,2.8,5.0,3.1,3.1,2.6,3.2
64,18-30,Bachelor's,30k-60k,Urban,Seen,4.1,3.8,4.7,3.1,4.2,2.9,2.3
65,18-30,Bachelor's,60k-100k,Suburban,Interacted,3.9,4.0,4.0,3.4,3.1,2.8,3.4
66,18-30,Graduate Degree,>150k,Suburban,Seen,3.9,3.2,4.1,3.1,3.9,3.3,2.7
67,18-30,High School,<30k,Urban,None,2.3,2.5,3.7,3.7,3.8,2.9,3.2
68,18-30,Bachelor's,100k-150k,Suburban,None,5.0,3.4,4.7,3.1,4.4,2.5,3.7
69,18-30,Graduate Degree,>150k,Suburban,Seen,3.2,2.7,3.4,2.2,3.5,3.2,2.8
70,18-30,High School,<30k,Urban,Seen,4.6,3.6,3.7,3.1,4.0,3.6,2.5
71,18-30,Graduate Degree,30k-60k,Suburban,Interacted,3.3,3.9,4.8,3.9,3.1,2.8,2.7
72,18-30,Some College,<30k,Rural,Seen,3.4,3.6,3.9,3.8,3.6,2.4,3.2
73,18-30,High School,60k-100k,Suburban,Seen,4.7,3.3,3.8,3.2,3.7,3.1,3.3
74,18-30,Some College,30k-60k,Urban,None,3.8,3.8,4.3,3.1,4.8,2.5,3.1
75,18-30,Some College,60k-100k,Suburban,None,4.0,3.8,4.9,2.5,3.1,3.0,3.1
76,18-30,Graduate Degree,60k-100k,Suburban,Seen,3.7,3.5,4.4,3.6,4.5,3.5,3.3
77,18-30,Some College,60k-100k,Urban,Seen,2.6,3.1,4.4,3.3,3.8,2.8,3.4
78,18-30,Some College,60k-100k,Suburban,None,3.7,3.4,4.2,2.9,4.0,2.9,3.8
79,18-30,Bachelor's,>150k,Urban,None,3.9,2.4,4.3,3.3,3.8,2.6,2.8
80,18-30,Bachelor's,<30k,Rural,Interacted,3.4,4.5,4.7,2.8,4.1,3.6,3.0
81,18-30,Some College,>150k,Urban,Interacted,4.8,3.9,3.6,3.0,4.2,3.3,3.6
82,18-30,Graduate Degree,30k-60k,Suburban,Seen,3.6,3.6,3.6,2.3,3.6,2.8,3.1
83,18-30,High School,<30k,Suburban,Interacted,3.6,4.0,4.7,2.9,4.2,2.8,3.1
84,18-30,Bachelor's,100k-150k,Suburban,Interacted,3.3,4.5,4.6,3.2,4.3,2.8,3.7
85,18-30,High School,30k-60k,Urban,Seen,3.8,3.3,3.4,3.4,3.6,3.3,2.9
86,18-30,Some College,60k-100k,Urban,None,3.8,2.7,3.9,3.5,4.1,2.3,3.0
87,18-30,Bachelor's,60k-100k,Suburban,None,3.2,3.2,3.8,3.1,3.8,2.8,2.9
88,18-30,Bachelor's,100k-150k,Urban,Interacted,4.4,4.1,3.7,3.8,4.4,2.8,2.7
89,18-30,Bachelor's,100k-150k,Urban,Seen,5.0,3.6,4.3,3.6,3.8,3.5,3.2
90,18-30,High School,30k-60k,Urban,Seen,3.8,4.5,4.3,2.9,4.1,3.1,2.7
91,18-30,Bachelor's,60k-100k,Urban,Interacted,3.7,4.2,3.6,3.4,3.6,2.9,3.5
92,18-30,Some College,30k-60k,Urban,None,4.7,3.5,4.6,3.2,4.4,3.6,2.8
93,18-30,Graduate Degree,30k-60k,Urban,Seen,4.4,3.8,4.6,3.2,4.2,2.2,3.7
94,18-30,Graduate Degree,<30k,Urban,Seen,4.4,2.2,3.9,3.1,4.5,3.1,2.8
95,18-30,Some College,60k-100k,Urban,Seen,3.2,2.5,4.4,3.1,4.3,2.2,3.6
96,18-30,High School,<30k,Suburban,None,5.0,4.0,4.1,3.6,3.7,2.0,2.8
97,18-30,High School,<30k,Urban,Seen,4.8,3.6,4.6,3.7,4.5,2.8,3.2
98,18-30,High School,30k-60k,Urban,Seen,3.9,2.5,4.4,3.5,3.9,3.2,3.0
99,18-30,High School,<30k,Rural,Seen,5.0,3.4,4.3,3.3,3.8,3.3,1.9
100,18-30,High School,30k-60k,Suburban,Interacted,3.6,3.8,4.4,3.4,3.4,2.5,4.0
101,18-30,Bachelor's,100k-150k,Rural,Seen,3.9,3.6,4.2,4.1,4.4,3.0,2.8
102,18-30,Bachelor's,30k-60k,Suburban,Seen,3.7,3.6,4.4,3.9,3.3,3.0,2.6
103,18-30,Graduate Degree,100k-150k,Suburban,None,4.3,3.7,4.5,3.3,3.1,2.3,3.5
104,18-30,Some College,100k-150k,Urban,Interacted,5.0,3.7,4.5,3.0,3.9,2.3,2.3
105,18-30,Some College,30k-60k,Urban,Interacted,5.0,3.0,3.6,2.8,4.0,2.4,3.5
106,18-30,Graduate Degree,60k-100k,Suburban,Seen,4.9,4.1,3.9,2.4,3.1,3.3,4.2
107,18-30,Bachelor's,60k-100k,Rural,Seen,3.0,2.8,4.1,3.3,3.8,3.1,3.0
108,18-30,Some College,100k-150k,Suburban,Seen,3.0,3.1,3.7,3.6,3.1,2.3,3.5
109,18-30,High School,60k-100k,Urban,Seen,3.7,3.1,5.0,3.2,4.0,2.3,3.7
110,18-30,Bachelor's,>150k,Suburban,Interacted,2.7,4.3,4.2,3.1,3.9,2.4,2.7
111,18-30,Bachelor's,>150k,Urban,Seen,3.1,3.4,4.6,2.7,4.3,2.5,3.9
112,18-30,Some College,60k-100k,Urban,Seen,3.8,3.4,3.8,3.4,4.1,2.7,2.9
113,18-30,Bachelor's,60k-100k,Urban,Interacted,3.2,2.8,4.9,2.3,4.1,2.8,3.2
114,18-30,Bachelor's,60k-100k,Rural,Seen,3.3,2.8,3.2,3.4,4.7,2.6,2.9
115,18-30,High School,30k-60k,Urban,Seen,3.9,3.7,3.8,3.1,3.6,3.2,3.5
116,18-30,Some College,30k-60k,Suburban,Seen,4.2,3.6,5.0,3.9,4.1,2.4,3.0
117,18-30,High School,60k-100k,Urban,None,2.8,2.7,3.7,3.1,4.7,2.6,3.7
118,18-30,High School,>150k,Rural,Seen,4.0,3.3,3.5,3.7,4.0,4.0,3.2
119,18-30,High School,100k-150k,Suburban,Interacted,4.4,3.5,3.7,2.7,3.5,2.7,3.0
120,18-30,Some College,60k-100k,Suburban,Seen,4.5,3.5,3.4,3.1,4.3,2.8,3.0
121,18-30,Graduate Degree,100k-150k,Suburban,Interacted,4.9,4.1,3.9,3.0,3.3,2.6,2.5
122,18-30,Bachelor's,<30k,Suburban,None,3.8,2.6,4.3,3.1,4.3,3.5,3.3
123,18-30,Some College,<30k,Urban,Seen,4.0,3.7,4.5,3.1,3.0,2.5,1.6
124,18-30,High School,60k-100k,Suburban,Interacted,3.3,3.4,3.8,3.0,4.6,2.9,2.8
125,18-30,Bachelor's,<30k,Suburban,Seen,3.6,3.3,3.4,3.6,4.1,3.9,2.5
126,18-30,High School,30k-60k,Urban,Seen,3.4,3.5,4.7,3.4,4.3,2.5,1.7
127,18-30,Some College,30k-60k,Urban,None,3.8,3.8,3.7,3.1,2.9,3.8,2.4
128,18-30,Some College,30k-60k,Urban,Interacted,3.3,4.5,3.8,3.8,3.8,2.5,3.5
129,18-30,Some College,100k-150k,Urban,Seen,4.4,3.3,4.2,3.6,4.6,3.4,3.1
130,18-30,Some College,<30k,Suburban,None,2.7,2.4,4.3,4.1,4.0,2.6,3.1
131,18-30,Some College,100k-150k,Suburban,None,4.5,3.8,4.0,2.9,4.0,2.4,2.6
132,18-30,Some College,30k-60k,Urban,Seen,3.3,3.7,4.9,3.8,4.2,3.0,4.1
133,18-30,Graduate Degree,60k-100k,Suburban,Seen,3.6,3.1,4.6,3.4,3.5,3.0,3.3
134,18-30,Some College,30k-60k,Suburban,None,4.5,3.2,3.6,3.0,3.8,3.0,3.4
135,18-30,Graduate Degree,100k-150k,Rural,Interacted,4.4,3.4,4.6,2.7,4.5,2.7,3.4
136,18-30,Some College,>150k,Rural,Interacted,4.8,4.0,4.5,3.3,3.6,2.5,3.3
137,18-30,Bachelor's,60k-100k,Suburban,Seen,4.5,3.3,3.3,3.1,4.8,3.1,3.2
138,18-30,Some College,<30k,Urban,None,5.0,3.8,4.4,3.0,3.5,2.5,3.3
139,18-30,Bachelor's,<30k,Urban,Interacted,3.1,3.1,4.3,3.8,3.2,2.2,2.8
140,18-30,Bachelor's,100k-150k,Suburban,Seen,3.4,4.6,3.2,2.4,3.0,2.0,3.6
141,18-30,Bachelor's,<30k,Suburban,Interacted,4.5,3.9,5.0,4.0,4.7,3.3,2.7
142,18-30,High School,<30k,Urban,Seen,2.9,3.1,4.9,3.4,4.4,2.8,3.7
143,18-30,Some College,30k-60k,Urban,None,2.9,2.8,4.4,2.4,4.0,3.1,3.9
144,18-30,Some College,100k-150k,Urban,Interacted,3.9,2.9,4.3,4.0,4.7,2.6,2.4
145,18-30,Some College,>150k,Urban,Interacted,4.9,3.5,4.7,3.0,3.7,3.0,2.9
146,18-30,High School,60k-100k,Suburban,None,3.0,3.2,4.2,3.9,3.7,2.5,3.2
147,18-30,Bachelor's,60k-100k,Rural,Seen,3.1,3.1,3.7,2.7,4.1,2.7,2.6
148,18-30,Bachelor's,<30k,Suburban,Seen,3.9,3.7,5.0,1.9,4.3,3.2,2.9
149,18-30,Graduate Degree,<30k,Urban,Interacted,5.0,4.1,4.6,2.6,3.3,3.1,2.3
150,18-30,Some College,<30k,Urban,Seen,3.0,3.2,4.4,2.7,3.5,2.9,3.6
151,18-30,Graduate Degree,60k-100k,Urban,Interacted,3.8,3.5,4.4,4.0,3.9,2.4,2.4
152,18-30,Some College,60k-100k,Suburban,Interacted,3.3,3.2,5.0,3.1,3.5,2.7,3.7
153,18-30,High School,30k-60k,Suburban,None,3.8,3.2,3.5,3.1,3.7,3.1,3.2
154,18-30,Graduate Degree,60k-100k,Suburban,Interacted,3.9,3.0,3.8,3.2,3.5,2.6,3.6
155,18-30,Some College,100k-150k,Suburban,Seen,3.9,4.0,4.8,3.4,4.3,2.7,2.4
156,18-30,Some College,100k-150k,Rural,Interacted,5.0,3.6,4.5,2.9,3.7,2.3,3.2
157,18-30,High School,100k-150k,Suburban,Seen,4.9,3.2,4.5,3.1,4.0,2.8,3.6
158,18-30,High School,60k-100k,Suburban,Interacted,4.1,3.7,4.1,3.4,4.1,2.9,2.8
159,18-30,Bachelor's,60k-100k,Suburban,None,2.0,2.5,4.0,2.1,3.8,3.5,3.0
160,18-30,High School,60k-100k,Suburban,None,5.0,3.4,4.7,3.0,3.7,2.6,2.5
161,18-30,Bachelor's,60k-100k,Urban,Seen,3.2,3.8,4.1,3.7,3.9,2.9,3.2
162,18-30,High School,<30k,Suburban,Interacted,3.9,4.7,3.6,3.4,3.7,3.2,2.3
163,18-30,Some College,30k-60k,Urban,Seen,4.5,3.8,4.7,2.4,4.3,3.1,2.4
164,18-30,Bachelor's,<30k,Urban,None,3.4,3.1,4.5,3.7,3.8,1.7,3.4
165,18-30,Bachelor's,>150k,Urban,Seen,3.4,3.6,4.0,3.5,4.0,3.0,3.4
166,18-30,High School,60k-100k,Suburban,Seen,4.4,2.8,4.0,3.0,3.7,2.8,2.8
167,18-30,Some College,30k-60k,Suburban,Seen,3.3,3.3,4.4,3.5,4.4,2.9,3.4
168,18-30,Graduate Degree,100k-150k,Suburban,Seen,4.0,4.0,4.0,2.6,4.0,3.3,3.3
169,18-30,Some College,30k-60k,Urban,Seen,2.9,3.8,4.9,2.9,4.3,2.9,4.1
170,18-30,Bachelor's,30k-60k,Suburban,Seen,3.9,3.7,5.0,3.0,3.5,3.9,2.9
171,18-30,Bachelor's,60k-100k,Suburban,None,2.1,3.0,4.1,3.0,3.7,1.7,2.9
172,18-30,Some College,30k-60k,Suburban,Seen,2.3,3.0,3.6,2.9,3.5,3.0,3.7
173,18-30,Graduate Degree,30k-60k,Urban,Seen,4.7,3.5,3.8,3.2,4.0,1.7,3.0
174,18-30,Some College,30k-60k,Urban,None,3.4,3.2,3.9,3.2,4.2,2.0,3.4
175,18-30,Some College,<30k,Suburban,Interacted,3.6,4.4,3.8,3.3,3.5,1.7,2.6
176,18-30,High School,<30k,Urban,None,3.7,3.2,4.0,3.2,4.1,2.3,3.7
177,18-30,Bachelor's,>150k,Suburban,Interacted,3.3,4.9,4.4,3.4,3.9,2.4,2.2
178,18-30,High School,<30k,Suburban,Interacted,3.3,4.5,4.0,3.7,3.5,3.3,3.2
179,18-30,Bachelor's,30k-60k,Urban,Interacted,3.2,2.7,4.1,3.8,4.2,3.0,2.1
180,18-30,Bachelor's,60k-100k,Suburban,Seen,3.6,3.8,4.8,2.6,3.7,2.2,2.9
181,18-30,High School,<30k,Suburban,Seen,2.9,2.3,3.5,3.7,3.8,2.4,3.6
182,18-30,High School,>150k,Suburban,Interacted,4.2,3.9,4.8,2.7,4.1,2.6,3.0
183,18-30,Some College,<30k,Urban,Interacted,4.0,3.9,3.7,2.9,3.0,2.6,3.0
184,18-30,Bachelor's,>150k,Urban,Seen,2.8,3.2,4.7,3.0,4.1,2.0,2.4
185,18-30,Bachelor's,60k-100k,Suburban,None,3.1,3.1,4.1,3.7,3.4,2.4,2.4
186,18-30,Some College,60k-100k,Urban,Seen,4.7,4.7,4.4,4.1,3.4,1.5,2.9
187,18-30,Bachelor's,30k-60k,Urban,Seen,5.0,3.6,4.2,2.8,3.1,2.9,3.1
188,18-30,Bachelor's,30k-60k,Rural,Interacted,2.4,3.9,4.3,3.3,3.9,3.4,3.0
189,18-30,Some College,30k-60k,Suburban,Interacted,3.5,3.9,4.3,1.9,5.0,2.7,3.6
190,18-30,Graduate Degree,30k-60k,Urban,Seen,4.3,3.7,4.9,3.0,4.5,3.1,1.5
191,18-30,High School,30k-60k,Suburban,Seen,3.4,2.9,4.7,3.7,3.7,2.4,3.6
192,18-30,Graduate Degree,<30k,Rural,Seen,3.3,3.5,3.9,3.6,4.2,3.2,3.3
193,18-30,Bachelor's,100k-150k,Suburban,Interacted,3.8,2.9,4.5,3.3,3.5,2.9,2.6
194,18-30,High School,30k-60k,Urban,Seen,4.3,4.1,3.4,2.2,4.0,2.8,2.6
195,18-30,High School,<30k,Urban,Seen,4.4,3.5,3.7,2.7,4.3,2.5,2.9
196,18-30,Some College,30k-60k,Suburban,None,1.4,2.6,4.5,3.1,4.0,3.5,2.3
197,18-30,Bachelor's,60k-100k,Urban,Seen,4.9,3.2,3.6,3.5,4.3,3.1,3.1
198,18-30,Bachelor's,30k-60k,Suburban,Interacted,3.1,4.1,4.2,2.8,3.7,2.5,3.1
199,18-30,High School,60k-100k,Urban,Seen,3.2,3.6,4.7,2.6,3.5,3.4,2.9
200,18-30,Some College,100k-150k,Rural,Seen,4.0,3.2,4.0,3.5,3.8,3.0,2.9
201,18-30,Some College,30k-60k,Suburban,Seen,4.6,3.8,4.5,2.7,4.0,2.8,2.5
202,18-30,Bachelor's,<30k,Urban,Interacted,3.4,3.0,4.1,3.1,4.2,2.1,1.9
203,18-30,Some College,<30k,Suburban,Interacted,5.0,4.0,4.8,2.9,3.7,3.0,2.8
204,18-30,Bachelor's,60k-100k,Urban,Interacted,2.8,4.3,4.4,3.3,3.4,2.4,3.6
205,18-30,Bachelor's,<30k,Rural,Seen,2.9,3.1,3.8,2.4,3.0,2.9,2.2
206,18-30,Some College,60k-100k,Suburban,Seen,2.9,3.7,2.9,3.1,3.8,2.8,3.3
207,18-30,Bachelor's,100k-150k,Suburban,Interacted,4.0,4.3,4.1,3.2,4.4,2.4,1.9
208,18-30,Graduate Degree,100k-150k,Urban,Interacted,2.5,2.9,3.5,3.2,4.0,2.7,3.7
209,18-30,High School,30k-60k,Urban,Interacted,3.8,3.6,5.0,3.0,3.6,2.8,3.3
210,18-30,High School,<30k,Urban,None,4.2,3.9,3.9,3.7,4.2,2.2,3.1
211,18-30,Some College,60k-100k,Urban,None,4.3,2.8,4.5,3.0,3.8,1.9,3.2
212,18-30,Graduate Degree,60k-100k,Urban,Seen,3.7,4.1,4.1,4.1,3.9,2.7,2.8
213,18-30,Some College,30k-60k,Urban,Interacted,4.1,3.6,4.1,2.5,4.1,3.0,3.0
214,18-30,Bachelor's,<30k,Suburban,Interacted,5.0,4.0,3.4,3.3,3.9,2.5,3.2
215,18-30,High School,60k-100k,Suburban,Interacted,3.6,4.0,4.3,2.5,3.9,3.6,3.3
216,18-30,High School,30k-60k,Suburban,Seen,5.0,3.7,3.6,2.9,4.0,2.6,3.0
217,18-30,High School,30k-60k,Urban,None,4.3,4.0,3.5,2.3,4.0,2.9,3.1
218,18-30,Some College,60k-100k,Urban,Seen,3.5,3.7,3.9,2.5,4.3,2.8,2.5
219,18-30,Graduate Degree,60k-100k,Urban,Interacted,3.6,4.4,4.5,4.4,3.5,3.3,3.4
220,18-30,Some College,30k-60k,Urban,Seen,1.7,2.9,4.0,2.5,4.1,3.2,2.8
221,18-30,Bachelor's,100k-150k,Urban,Seen,4.6,3.4,4.7,3.5,3.4,3.0,3.1
222,18-30,High School,<30k,Suburban,Interacted,4.3,3.3,3.4,2.8,3.9,2.3,2.5
223,18-30,Bachelor's,100k-150k,Urban,None,2.9,3.7,3.7,2.5,4.3,3.1,2.8
224,18-30,Bachelor's,<30k,Suburban,Interacted,4.3,3.1,3.3,2.7,4.2,3.0,3.7
225,18-30,Some College,60k-100k,Suburban,None,4.6,3.9,4.2,2.6,2.7,2.9,3.5
226,18-30,Bachelor's,60k-100k,Suburban,Seen,4.2,3.9,4.2,3.5,3.6,2.5,2.4
227,18-30,Bachelor's,60k-100k,Rural,None,5.0,3.6,3.0,3.1,4.1,2.5,2.6
228,18-30,High School,60k-100k,Suburban,Seen,4.4,3.8,4.4,3.4,3.9,2.8,2.7
229,18-30,High School,100k-150k,Suburban,Seen,4.4,3.3,3.7,3.0,3.3,2.3,3.2
230,18-30,Bachelor's,60k-100k,Suburban,Interacted,3.0,2.8,4.6,2.9,4.0,1.9,3.2
231,18-30,Bachelor's,30k-60k,Suburban,None,3.3,2.9,3.9,3.0,3.5,3.3,3.9
232,18-30,Some College,>150k,Suburban,None,3.5,3.3,4.1,3.7,4.6,2.6,2.3
233,18-30,Some College,30k-60k,Urban,Interacted,5.0,3.5,3.5,3.1,4.7,2.5,2.7
234,18-30,Some College,30k-60k,Suburban,Seen,3.2,3.4,3.4,2.6,3.4,2.9,3.0
235,18-30,High School,>150k,Urban,None,4.6,2.7,4.3,2.7,4.6,3.4,3.6
236,18-30,Some College,60k-100k,Suburban,Interacted,4.6,4.6,4.7,3.4,4.1,3.0,2.3
237,18-30,Some College,<30k,Suburban,None,4.1,2.9,4.0,2.3,3.8,3.0,2.8
238,18-30,Bachelor's,>150k,Urban,Seen,2.8,3.5,4.1,2.9,3.1,3.7,3.7
239,18-30,Bachelor's,<30k,Urban,None,3.6,4.0,4.4,3.4,3.6,2.4,3.9
240,18-30,High School,>150k,Suburban,None,4.2,2.7,4.7,3.3,4.1,2.8,3.4
241,18-30,Bachelor's,60k-100k,Suburban,None,4.0,3.7,4.1,2.8,4.0,3.2,2.1
242,18-30,Bachelor's,100k-150k,Suburban,Interacted,5.0,3.7,4.1,2.4,4.2,2.5,3.9
243,18-30,Graduate Degree,<30k,Suburban,Interacted,3.8,3.9,4.0,2.2,3.6,2.8,3.4
244,18-30,Some College,60k-100k,Urban,Seen,4.3,4.1,4.0,3.0,3.8,3.2,3.2
245,18-30,High School,30k-60k,Urban,None,3.4,2.8,4.2,2.3,2.8,3.1,3.5
246,18-30,Graduate Degree,>150k,Urban,Seen,3.9,5.0,4.7,3.1,2.8,2.7,2.6
247,18-30,High School,100k-150k,Suburban,Seen,4.1,3.0,4.3,3.2,3.7,3.6,2.4
248,18-30,Bachelor's,30k-60k,Urban,Seen,3.2,2.6,4.5,3.6,4.4,2.2,3.0
249,18-30,High School,30k-60k,Suburban,Seen,3.2,3.3,3.5,3.4,3.8,2.5,2.6
250,18-30,Bachelor's,30k-60k,Urban,Seen,1.7,2.8,4.4,4.0,4.1,2.4,3.3
251,18-30,Graduate Degree,60k-100k,Suburban,None,3.2,2.8,4.3,2.6,3.7,2.4,3.2
252,18-30,Graduate Degree,30k-60k,Suburban,Interacted,5.0,4.6,3.6,3.0,3.9,4.1,2.4
253,18-30,Some College,<30k,Suburban,None,3.7,3.1,4.8,3.2,4.1,3.0,2.0
254,18-30,High School,100k-150k,Rural,Seen,3.8,3.5,4.9,2.7,3.9,3.4,2.8
255,18-30,High School,100k-150k,Urban,Seen,3.3,3.1,4.4,3.1,4.0,2.5,2.9
256,18-30,Graduate Degree,60k-100k,Urban,None,3.3,2.0,4.9,2.8,3.3,2.5,2.9
257,18-30,Bachelor's,60k-100k,Suburban,Seen,4.1,3.9,4.1,4.2,4.0,3.6,3.7
258,18-30,Some College,<30k,Suburban,Seen,4.0,3.7,4.5,3.8,4.2,2.6,2.8
259,18-30,Graduate Degree,100k-150k,Suburban,Interacted,2.8,3.0,4.6,3.3,4.8,3.4,3.0
260,18-30,High School,30k-60k,Urban,None,3.1,3.8,4.7,2.9,3.2,2.8,3.5
